estat_tps00191
Country;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AT;28035;88160;42255;24715;13710;12860;14760;39900;112245;59210;25330;16245
BE;22710;44665;18280;18340;22530;27460;16710;24970;36740;35160;39130;34355
BG;11080;20390;19420;3695;2535;2150;3525;11000;20390;22510;12260;3895
CH;23560;39445;27140;18015;15160;14195;10990;14850;24440;30110;27615;25625
CY;1745;2265;2940;4600;7765;13650;7495;13670;22190;11910;9185;4610
CZ;1145;1515;1475;1445;1690;1915;1160;1405;1685;1405;1355;1185
DE;202645;476510;745160;222565;184180;165615;121955;190545;243835;351510;250550;168375
DK;14680;20935;6180;3220;3570;2700;1475;2080;4565;2455;2280;1920
EE;155;230;175;190;95;105;50;80;2945;3985;1355;1015
EL;9430;13205;51110;58650;66965;77275;40560;28355;37375;64225;73680;61625
ES;5615;14780;15755;36610;54050;117800;88530;65295;117945;162420;167720;143700
FI;3620;32345;5605;4995;4500;4520;3190;2525;5780;5335;2915;2515
FR;64310;76165;84270;99330;137665;151070;93200;120685;156455;166940;157460;151545
HR;450;210;2225;975;800;1400;1605;2550;2730;1750;1115;1180
HU;42775;177135;29430;3390;670;500;115;40;45;30;30;110
IE;1450;3275;2245;2930;3670;4780;1565;2650;13660;13275;18565;13160
IS;170;370;1125;1085;775;845;640;870;4550;4155;1925;: 
IT;64625;83540;122960;128850;59950;43770;26940;53610;84290;135820;158605;133350
LI;65;150;80;150;165;50;35;95;80;80;85;80
LT;440;315;430;545;405;645;315;3940;1025;575;360;380
LU;1150;2505;2160;2430;2335;2270;1345;1415;2460;2685;2205;1840
LV;375;330;350;355;185;195;180;615;620;1700;1040;1475
ME;: ;: ;: ;: ;3100;1920;540;270;175;145;130;140
MT;1350;1845;1930;1840;2130;4090;2480;1595;1320;855;700;545
NL;24495;44970;20945;18210;24025;25200;15255;26525;37025;39710;33435;25745
NO;11415;31115;3490;3520;2660;2265;1375;1635;4840;5350;4940;3675
PL;8020;12190;12305;5045;4110;4070;2785;7795;9810;9475;16895;13220
PT;440;895;1460;1750;1285;1820;1000;1540;2115;2695;2690;1760
RO;1545;1260;1880;4815;2135;2590;6155;9585;12355;10095;2400;1190
SE;81185;162450;28795;26330;28605;30325;20195;20375;23805;17010;11110;8485
SI;385;275;1310;1475;2875;3820;3550;5300;6785;7260;5635;4170
SK;330;330;145;160;175;230;280;370;545;410;150;155
