"text","text_en","cmp_code","eu_code"
"Einleitung","Introduction",NA,NA
"Die Bundestagswahl am 22. September 2013 steht vor der Tür und die Piratenpartei Deutschland will in den Bundestag einziehen.","The Bundestag election on September 22, 2013 is just around the corner and the Pirate Party Germany wants to enter the Bundestag.","000",NA
"Dort können wir die Inhalte, mit denen wir seit 2011 unter anderem in vier Landesparlamenten vertreten sind, weiter voranbringen.","There, we can further advance the content with which we have been represented in four state parliaments since 2011, among others.","305",NA
"Unser Wahlprogramm, das Sie nun in Händen halten, ist von unseren Mitgliedern verfasst, bei Parteitagen engagiert diskutiert und verabschiedet worden.","Our election program, which you now hold in your hands, was written by our members, discussed with great commitment at party conventions and adopted.","000",NA
"Hier sind natürlich unsere Kernthemen wie Urheberrecht, Datenschutz, Stärkung der Bürgerrechte, Transparenz des Staatswesens, Internet und Bildung vertreten.","Here, of course, our core issues are represented, such as copyright, data protection, strengthening civil rights, transparency of the state, the Internet and education.","000",NA
"Und Sie finden unsere Vorstellungen zu den Bereichen Soziales, Gesundheitspolitik, Asylpolitik, Umwelt und Europa.","And you will find our ideas on social affairs, health policy, asylum policy, the environment and Europe.","000",NA
"Einige Positionen seien hier beispielgebend erwähnt:","A few positions are mentioned here as examples:","000",NA
"Als einzige Partei verlangen wir die gesetzliche Festschreibung der Netzneutralität – Datendurchleitung im Internet muss neutral bleiben.","We are the only party to call for net neutrality to be enshrined in law - data transmission on the Internet must remain neutral.","503",NA
"Wir geben eine konkrete Grundlage zur Berechnung eines gesetzlichen Mindestlohns,","We provide a concrete basis for calculating a statutory minimum wage,","412",NA
"den wir allerdings nur als Brückentechnologie bis zur Einführung des ebenso geforderten Bedingungslosen Grundeinkommens sehen.","which, however, we see only as a bridging technology until the introduction of the equally demanded unconditional basic income.","503",NA
"Wir setzen uns für den Einsatz von frei zugänglichen und frei nutzbaren Bildungsressourcen (OER = Open Educational Resources) ein.","We advocate the use of freely accessible and freely usable educational resources (OER = Open Educational Resources).","506",NA
"Gerade aufgrund unseres Bekenntnisses zu Europa wollen wir eine transparente Ausgestaltung sowie die demokratische Kontrolle des ESM.","Precisely because of our commitment to Europe, we want a transparent design and democratic control of the ESM.","202",NA
"Wir fordern die Einführung bundesweiter Volksentscheide.","We call for the introduction of nationwide referendums.","202",NA
"Wir wollen unseren politischen Willen nicht nur bei Wahlen sondern auch bei Abstimmungen ausdrücken.","We want to express our political will not only in elections but also in votes.","202",NA
"Wir Piraten wollen ändern, wie Politik gemacht wird und so auch die Politik selbst.","We pirates want to change how politics is made and thus also politics itself.","305",NA
"Wir stehen für eine solidarische, lebenswerte Gesellschaft – und betreiben einen kraftvollen Wahlkampf, um diese Ziele dann auch in der Bundespolitik umsetzen zu können.","We stand for a society that is based on solidarity and worth living in - and we are running a powerful election campaign so that we can then implement these goals in federal politics.","305",NA
"Wählen Sie am 22. September 2013 die Piratenpartei – wir sorgen dafür, dass Ihre Stimme zählt!","Vote for the Pirate Party on September 22, 2013 - we'll make sure your vote counts!","305",NA
"Freiheit und Grundrechte","Freedom and fundamental rights",NA,NA
"Privatsphäre wahren,  Datenschutz und informationelle Selbstbestimmung stärken","Preserving privacy, strengthening data protection and informational self-determination",NA,NA
