text,text_en,cmp_code,eu_code,party_id,year,sentence_id,cmp_code_clean,frame (Abbie and Dee),frame(Mo and Sam),agreement_column
"Jeder, der in der Bundesrepublik geboren wird, soll die deutsche Staatsangehörigkeit erhalten.",Everyone born in the Federal Republic should receive German citizenship.,602.0,,41222,2005,41222_2005_87880,602,cultural,cultural,1
"Mehr als 200.000 Menschen – darunter viele Kinder und Jugendliche – leben über viele Jahre in einem Zustand der Perspektivlosigkeit und Rechtsunsicherheit in Deutschland, weil sie nur geduldet sind.","More than 200,000 people - among them many children and young people - live for many years in a state of lack of perspective and legal uncertainty in Germany because they are only tolerated.",607.2,,41113,2021,41113_2021_93376,607.2,humanitarian,humanitarian,1
Die Sprachförderangebote des Bundes für Migrantinnen und Migranten sowie Aussiedlerinnen und Aussiedler müssen vereinheitlicht und weiterentwickelt werden.,The federal government's language support programs for migrants and ethnic German repatriates must be standardized and further developed.,705.0,,41113,2002,41113_2002_67310,705,cultural,cultural,1
"Die meisten kommen nicht nach Europa, sondern suchen Zuflucht in den Nachbarländern ihrer Heimat.","Most of them do not come to Europe, but seek refuge in the neighboring countries of their homeland.",201.2,,41223,2017,41223_2017_81991,201.2,humanitarian,humanitarian,1
"Die Hilfe zum Lebensunterhalt, die Arbeitslosenhilfe und Leistungen nach dem Asylbewerberleistungsgesetz sollen durch eine bedarfsorientierte Grundsicherung abgelöst werden","Subsistence assistance, unemployment assistance and benefits under the Asylum Seekers Benefits Act are to be replaced by a means-tested basic income support scheme",504.0,,41113,1998,41113_1998_7743,504,economic,economic,1
"Das Recht, mit der Geburt auch die deutsche Staatsangehörigkeit zu erhalten, muß für die in der Bundesrepublik Deutschland geborenen Ausländer der zweiten und nachfolgender Generationen gesetzlich verankert werden",The right to obtain German citizenship at birth must be enshrined in law for foreigners of the second and subsequent generations born in the Federal Republic of Germany,607.0,,41420,1998,41420_1998_51637,607,cultural,cultural,1
Wir werden in das Asylbewerberleistungsgesetz mit den gegenüber der Sozialhilfe niedrigeren Leistungen alle ausländischen Flüchtlinge für die Dauer ihres nur vorübergehenden Aufenthalts einbeziehen.,We will include all foreign refugees in the Asylum Seekers' Benefits Act with the lower benefits compared to social assistance for the duration of their only temporary stay.,601.0,,41521,2002,41521_2002_53611,601,economic,economic,1
"Deshalb möchten wir für all jene, die keinen Anspruch auf Asyl haben, die freiwillige Rückkehr stärken.","Therefore, we would like to strengthen voluntary return for all those who are not entitled to asylum.",201.2,,41113,2017,41113_2017_57756,201.2,security,security,1
Wir wollen eine gemeinsame europäische Flüchtlings- und Asylpolitik verwirklichen,We want to realize a common European refugee and asylum policy,201.0,,41320,1998,41320_1998_47432,201,humanitarian,humanitarian,1
Für die Förderung des Auslandsstudiums und für ausländische StudentInnen gelten die gleichen Regelungen wie für ein Studium der inländischen StudentInnen in Deutschland,same regulations apply to support for studying abroad and for foreign students as for studying in Germany for domestic students,504.0,,41113,1998,41113_1998_8277,504,cultural,humanitarian,0
Für ausländische Straftäter wollen wir das Ausweisungsrecht verschärfen.,We want to tighten the law on deportation for foreign criminals.,605.0,,41521,2013,41521_2013_77094,605,security,security,1
"Wir setzen uns außerdem dafür ein, dass in asyl- und aufenthaltsrechtlichen Verfahren das Kindeswohl vorrangig berücksichtigt und kinderbezogene Fluchtgründe stärker anerkannt werden.",We also advocate that the best interests of the child be given priority in asylum and residence procedures and that child-related reasons for flight be more strongly recognized.,201.2,,41113,2017,41113_2017_57880,201.2,humanitarian,humanitarian,1
Das individuelle Menschenrecht auf Asyl und das internationale Flüchtlingsrecht sind die Basis für das Gemeinsame Europäische Asylsystem.,The individual human right to asylum and international refugee law are the basis for the Common European Asylum System.,201.2,,41320,2025,41320_2025_44819,201.2,humanitarian,humanitarian,1
Wir wollen Migration besser ordnen bzw. steuern und hierfür weitere menschenrechtsbasierte Migrationsabkommen abschließen und bestehende zügig umsetzen.,We want to better organize and manage migration by concluding further human rights-based migration agreements and swiftly implementing existing ones.,602.2,,41113,2025,41113_2025_20151,602.2,humanitarian,humanitarian,1
Denn der Kontakt mit Behörden ist für viele Ausländer ein regelmäßiger Kraftakt.,"After all, contact with authorities is a regular feat for many foreigners.",607.2,,41420,2017,41420_2017_12766,607.2,security,security,1
"und klimabedingten Migration und Flucht ergreifen, damit Menschen geschützt werden können.",and climate-induced migration and flight so that people can be protected.,201.2,,41113,2025,41113_2025_20101,201.2,humanitarian,humanitarian,1
"Wir wollen die Möglichkeit der Integration von geflüchteten Frauen durch spezifische Beratungs- und psychologische Behandlungsmöglichkeiten stärken, da diese auf dem Fluchtweg häufig traumatisierende Erlebnisse erfahren.","We want to strengthen the ability of refugee women to integrate by providing specific counselling and psychological treatment options, as they often experience traumatizing experiences during their flight.",607.2,,41912,2025,41912_2025_24167,607.2,humanitarian,humanitarian,1
"pauschale Asylwiderrufsprüfungen soll es nicht geben; die Qualität der Asylprüfung und internen Kontrolle muss deutlich verbessert werden, um die Vielzahl der rechtswidrigen und fehlerhaften Bescheide des BAMF wirksam zu reduzieren",should be no blanket asylum revocation examinations; the quality of asylum examination and internal control must be significantly improved in order to effectively reduce the large number of illegal and erroneous decisions of the BAMF,201.2,,41223,2021,41223_2021_40033,201.2,security,security,1
sowie das Klima für die Integration der bereits hier lebenden und der künftig zuwandernden Ausländer zu verbessern.,and to improve the climate for the integration of foreigners who already live here and those who will immigrate in the future.,608.0,,41420,2002,41420_2002_101160,608,cultural,cultural,1
• Kompetenzen von Migrantinnen und Migranten wertschätzen:,- Valuing the skills of migrants:,705.0,,41223,2009,41223_2009_73730,705,economic,economic,1
"Auf wichtigen Politikfeldern wie Gemeinschaftswährung, Sicherheit, Migration und Kohäsion der Einzelstaaten hat die EU versagt.","The EU has failed in important policy areas such as the common currency, security, migration and cohesion of the individual states.",110,,41953,2025,41953_2025_1666,110,economic,economic,1
"Sie führen zu einer Verdrängung von Arbeitsplätzen, besonders im gering qualifizierten Bereich, und einer Abwanderung in die Schwarzarbeit.","They lead to job displacement, especially in the low-skilled sector, and a migration to undeclared work.",408.0,,41420,2009,41420_2009_48817,408,economic,economic,1
"Dies ist nur aussichtsreich, wenn im Rahmen von Opfer- und Zeugenschutzprogrammen ausländische Frauen, die in Deutschland zur Prostitution gezwungen wurden, ein Bleiberecht für die Dauer des Strafverfahrens erhalten und ihnen danach beruflich eine Ausstiegschance ermöglicht wird","This is only promising if, within the framework of victim and witness protection programs, foreign women who have been forced into prostitution in Germany are granted the right to stay for the duration of the criminal proceedings and are then given the opportunity to leave the profession",605.0,,41113,1998,41113_1998_8125,605,humanitarian,humanitarian,1
Wir brauchen eine humane Asylpolitik und einen ebenso zu definierenden Rahmen für Einwanderung in die EU.,We need a humane asylum policy and an equally definable framework for immigration to the EU.,201.2,,41223,2017,41223_2017_82310,201.2,humanitarian,humanitarian,1
Alle einwandernden Arbeitskräfte sollen ihren Aufenthalt einfacher verlängern und verfestigen können.,All immigrant workers should be able to extend and solidify their stay more easily.,303.0,,41113,2013,41113_2013_34585,303,economic,economic,1
